vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
41,100,81.71439,81.44978,90.3349,0,0,0,0,Random Vehicle
31,300,405.516,330.6842,465.1653,0,83.33334,0,0,Random Vehicle
34,383.3333,453.8627,397.0441,441.3499,1,66.66667,0,0,Random Vehicle
51,466.6666,500.3684,369.1539,517.0841,0,50,0,0,Random Vehicle
72,533.3333,483.6313,365.4181,366.6399,0,50,0,0,Random Vehicle
36,650.0001,324.0252,313.6797,351.1721,3,100,0,0,Random Vehicle
54,733.3335,2514.707,2433.38,3051.108,0,0,0,0,Random Vehicle
17,766.6669,1134.593,802.9413,993.1227,2,133.3334,0,0,Random Vehicle
20,766.6669,667.582,498.7322,604.305,2,133.3334,0,0,Random Vehicle
33,766.6669,894.0554,571.7783,625.7448,0,133.3334,0,0,Random Vehicle
21,816.6669,516.3368,475.0772,552.3602,4,116.6667,0,0,Random Vehicle
69,833.3336,1175.526,772.485,1092.207,0,200,0,0,Random Vehicle
67,902.0004,862.0087,656.6363,784.8379,1,200,0,0,Random Vehicle
3,968.6671,401.5277,311.5019,326.5125,4,84.33334,0,0,Random Vehicle
35,968.6671,1046.959,897.3658,971.2444,0,184.3334,0,0,Random Vehicle
50,935.3337,1362.998,1167.82,1611.458,0,216.6667,0,0,Random Vehicle
8,952.0004,1550.713,927.65,1123.332,0,234.3334,0,0,Random Vehicle
7,1152,972.0676,801.3374,987.226,2,166.6667,0,0,Random Vehicle
71,1168.667,1374.877,412.3522,538.6224,2,266.6667,0,0,Random Vehicle
32,1118.667,2798.976,2263.325,2600.984,2,100,0,0,Random Vehicle
43,1152,1158.313,1027.447,1398.855,2,233.3334,0,0,Random Vehicle
58,1252,923.3627,476.3087,639.1891,3,183.3334,0,0,Random Vehicle
19,1335.333,1442.449,1219.862,1710.954,3,266.6667,0,0,Random Vehicle
14,1368.666,2024.511,1507.01,1876.657,3,101,0,0,Random Vehicle
12,1585.333,1234.563,1047.111,1411.418,0,100,0,0,Random Vehicle
56,1501.999,1619.238,1039.461,1079.816,5,283.3334,0,0,Random Vehicle
23,1535.333,3238.88,2821.898,3632.872,3,301,0,0,Random Vehicle
66,1651.999,1645.929,1049.008,1372.018,4,283.3334,0,0,Random Vehicle
65,1668.666,1401.006,1012.653,1401.38,3,250.0001,0,0,Random Vehicle
49,1718.666,1778.789,1324.202,1688.249,1,267.6667,0,0,Random Vehicle
68,1835.332,1317.087,1037.371,1203.752,5,350,0,0,Random Vehicle
74,1935.332,1333.092,1049.365,1344.873,6,283.3334,0,0,Random Vehicle
57,1951.998,2187.418,1004.288,1066.861,0,250.0001,0,0,Random Vehicle
16,1951.998,1576.075,1219.235,1683.755,3,233.3334,0,0,Random Vehicle
52,1951.998,2749.97,1850.989,2287.617,2,316.6667,0,0,Random Vehicle
61,2001.998,1644.318,1349.671,1897.93,2,66.66667,0,0,Random Vehicle
70,2085.332,2349.001,1540.859,2079.236,1,283.3334,0,0,Random Vehicle
18,2118.665,5867.295,4954.102,5734.932,4,150,0,0,Random Vehicle
39,2168.665,2540.424,1678.526,2265.396,1,283.3334,0,0,Random Vehicle
55,2201.999,1849.252,1216.34,1547.181,3,351,0,0,Random Vehicle
63,2318.666,5652.763,5327.057,6642.324,1,250.0001,0,0,Random Vehicle
75,2485.333,2304.106,1857.696,2600.14,1,83.33334,0,0,Random Vehicle
26,2468.667,2790.51,1335.343,1729.763,0,250.0001,0,0,Random Vehicle
22,2585.334,2549.367,1916.843,2640.939,0,134.3334,0,0,Random Vehicle
4,2768.668,5404.866,4886.949,6087.71,2,283.3334,0,0,Random Vehicle
64,2768.668,3075.022,1606.804,1701.863,0,350,0,0,Random Vehicle
53,3035.336,2900.366,2010.77,2747.235,4,283.3334,0,0,Random Vehicle
10,3068.67,3211.722,2550.346,3357.432,1,266.6667,0,0,Random Vehicle
11,3035.336,3181.985,2046.124,2892.072,1,283.3334,0,0,Random Vehicle
6,3135.337,8540.386,7501.627,8625.258,0,233.3334,0,0,Random Vehicle
27,3135.337,3590.144,1634.91,2141.198,0,184.3334,0,0,Random Vehicle
48,3202.004,8796.421,7680.313,8659.356,1,233.3334,0,0,Random Vehicle
73,3218.67,7139.855,6213.592,6948.206,1,250.0001,0,0,Random Vehicle
47,3268.671,6948.656,5806.091,6500.563,2,300,0,0,Random Vehicle
24,3318.671,7389.352,6445.922,7460.396,2,335.3333,0,0,Random Vehicle
5,3966.793,6259.304,2836.018,3664.044,1,283.3334,0,0,Random Vehicle
30,4664.849,4667.982,2867.437,3067.241,3,449.6248,0,0,Random Vehicle
